date,transformed_price,monthly_real_gdp
2023-10-01,1.1474865710391462,22800.8017089443
2023-11-01,1.086270815173323,22924.6079456064
2023-12-01,0.9298597077775846,23161.1184130653
2024-01-01,1.021301704091692,22957.8502623198
2024-02-01,1.0643790002836866,23107.2001383517
2024-03-01,1.0248697091047865,23100.3495138061
2024-04-01,1.030204236752998,23164.9369456548
2024-05-01,0.9265106734719262,23245.7490409675
2024-06-01,0.9332004162253681,23372.316589311336
2024-07-01,0.9450642295127047,23435.600363483256
2024-08-01,0.8250335972492828,23435.600363483256
2024-09-01,0.7207404863445456,23398.764114740567
